Facility Code,Facility Name,Land Location,Township,Range,Meridian,Latitude,Longitude,CAPACITY (MW),ADDRESS,Area
313S,RAYMONDRESERVOIR,5-20-W 4,5,20,4,49.3913,-112.5846,,,AB
314S,IRRICANPOWER,7-21-W 4,7,21,4,49.56522,-112.71715,,,AB
315S,CHINCHUTE,8-18-W 4,8,18,4,49.65217,-112.31952,,,AB
316S,WESTCROSSFIELD,28-1-W 5,28,1,5,51.3913,-114.06627,,,AB
317S,BASELINE,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
318S,SCORIA,56-22-W 4,56,22,4,53.82609,-112.84969,,,AB
320P,KEEPHILLS,51-4-W 5,51,4,5,53.3913,-114.4639,,,AB
321S,ALROTHBAUER,13-6-W 4,13,6,4,50.08696,-110.72899,,,AB
322S,COWLEYRIDGE,7-1-W 5,7,1,5,49.56522,-114.06627,,,AB
323S,WHITECOURTPOWER,60-12-W 5,60,12,5,54.17391,-115.52425,,,AB
324S,CASSILS,18-15-W 4,18,15,4,50.52174,-111.92188,,,AB
325S,LEDUC,49-25-W 4,49,25,4,53.21739,-113.24732,,,AB
326S,MURRAYLAKE,8-9-W 4,8,9,4,49.65217,-111.12662,,,AB
329S,HRTEXPRESS,42-9-W 4,42,9,4,52.6087,-111.12662,,,AB
330P,GENESEE,50-3-W 5,50,3,5,53.30435,-114.33136,,,AB
331S,PONOKA,43-25-W 4,43,25,4,52.69565,-113.24732,,,AB
332S,ELLIS,39-25-W 4,39,25,4,52.34783,-113.24732,,,AB
336S,FINCASTLE,10-15-W 4,10,15,4,49.82609,-111.92188,,,AB
337S,CANADALIQUIDAIR,53-23-W 4,53,23,4,53.56522,-112.98223,,,AB
338S,CHERHILL,55-4-W 5,55,4,5,53.73913,-114.4639,,,AB
339S,DUCHESS,20-14-W 4,20,14,4,50.69565,-111.78934,,,AB
341S,SANDHILLSSUB,20-1-W 4,20,1,4,50.69565,-110.06627,,,AB
342S,GRANITE,56-22-W 4,56,22,4,53.82609,-112.84969,,,AB
344S,WARNER,4-17-W 4,4,17,4,49.30435,-112.18697,,,AB
345S,HORNBECK,53-18-W 5,53,18,5,53.56522,-116.31952,,,AB
346S,KAYBOB,59-18-W 5,59,18,5,54.08696,-116.31952,,,AB
347S,FOXCREEK,61-18-W 5,61,18,5,54.26087,-116.31952,,,AB
348S,MARLBORO,54-19-W 5,54,19,5,53.65217,-116.45206,,,AB
349S,STAVELY,14-27-W 4,14,27,4,50.17391,-113.51241,,,AB
352S,ONOWAY,54-2-W 5,54,2,5,53.65217,-114.19882,,,AB
353S,PLAMONDON,67-16-W 4,67,16,4,54.78261,-112.05443,,,AB
354S,SUMMERVIEW,7-28-W 4,7,28,4,49.56522,-113.64495,,,AB
355S,CHEVRONKNIGHT,59-18-W 5,59,18,5,54.08696,-116.31952,,,AB
