Well_ID,UWI,Area,Surf_Latitude,Surf_Longitude,Well_Status_Text,Well_Status_Group,Available_Volume_m3,Legal Subdivisions,Section,Township,Range,Meridian,Crooked_Hole_TF,Deviated_Hole_TF,Horizontal_Hole_TF,Burst_Pressure_psi,Format,STRM,orphan
131/02-02-049-22W3/00,131/02-02-049-22W3,SK,53.19291,-109.11283,Susp OIL Prod,SUSP,12.57571956998125,2,2,49,22,3,F,T,F,,ATS,2-49-22-3,0
131/02-02-051-22W3/00,131/02-02-051-22W3,SK,53.36904,-109.13721,Susp OIL Prod,SUSP,12.215703906082478,2,2,51,22,3,F,F,F,,ATS,2-51-22-3,0
131/02-03-006-33W1/02,131/02-03-006-33W1,SK,49.44716,-101.8433,Susp OIL Prod,SUSP,8.216477247552053,2,3,6,33,1,F,F,T,,ATS,3-6-33-1,0
131/02-03-014-19W3/00,131/02-03-014-19W3,SK,50.13893,-108.51757,Susp OIL Prod,SUSP,17.36651210797831,2,3,14,19,3,F,T,F,,ATS,3-14-19-3,0
131/02-03-028-28W3/00,131/02-03-028-28W3,SK,51.36157,-109.85744,Susp OIL Prod,SUSP,12.208673339809994,2,3,28,28,3,F,F,F,,ATS,3-28-28-3,0
131/02-04-001-16W2/00,131/02-04-001-16W2,SK,49.00222,-104.08603,ABD OIL,ABD,18.89930223224824,2,4,1,16,2,F,T,F,,ATS,4-1-16-2,0
131/02-04-005-07W2/02,131/02-04-005-07W2,SK,49.35428,-102.88572,Susp OIL Prod,SUSP,11.784775937917516,2,4,5,7,2,F,F,T,,ATS,4-5-7-2,0
131/02-04-005-20W3/00,131/02-04-005-20W3,SK,49.35161,-108.63847,Susp OIL Prod,SUSP,21.918898777060004,2,4,5,20,3,F,F,F,,ATS,4-5-20-3,0
131/02-04-014-27W3/00,131/02-04-014-27W3,SK,50.13861,-109.63196,Susp GAS Prod,SUSP,6.484842317489775,2,4,14,27,3,F,F,F,,ATS,4-14-27-3,0
131/02-04-014-32W1/02,131/02-04-014-32W1,SK,50.15477,-101.80115,ABD GAS,ABD,6.621653336846099,2,4,14,32,1,F,F,F,,ATS,4-14-32-1,0
131/02-04-032-27W3/00,131/02-04-032-27W3,SK,51.71044,-109.7709,Susp OIL Prod,SUSP,12.671575957339517,2,4,32,27,3,F,F,F,,ATS,4-32-27-3,0
131/02-04-033-23W3/00,131/02-04-033-23W3,SK,51.79787,-109.20512,Susp OIL Prod,SUSP,7.269795541046687,2,4,33,23,3,F,F,F,,ATS,4-33-23-3,0
131/02-04-050-25W3/03,131/02-04-050-25W3,SK,53.2807,-109.59973,Susp OIL Prod,SUSP,12.396953171355651,2,4,50,25,3,F,F,F,,ATS,4-50-25-3,0
131/02-04-051-22W3/00,131/02-04-051-22W3,SK,53.36862,-109.18658,ABD OIL,ABD,10.75081258401161,2,4,51,22,3,F,F,F,,ATS,4-51-22-3,0
131/02-04-052-23W3/02,131/02-04-052-23W3,SK,53.45654,-109.33339,Susp OIL Prod,SUSP,10.688740917822168,2,4,52,23,3,F,F,F,,ATS,4-52-23-3,0
131/02-05-033-23W3/00,131/02-05-033-23W3,SK,51.79772,-109.22876,Susp OIL Prod,SUSP,7.228752235239789,2,5,33,23,3,F,F,F,,ATS,5-33-23-3,0
131/02-06-006-33W1/00,131/02-06-006-33W1,SK,49.44455,-101.92203,Comp CO2 Inj,IDLE,11.583446981351596,2,6,6,33,1,F,F,F,,ATS,6-6-33-1,0
131/02-06-032-27W3/00,131/02-06-032-27W3,SK,51.70947,-109.81786,Act OIL Prod,IDLE,12.970470031572152,2,6,32,27,3,F,F,F,,ATS,6-32-27-3,0
131/02-06-048-21W3/02,131/02-06-048-21W3,SK,53.10596,-109.06406,Susp OIL Prod,SUSP,10.7632269172495,2,6,48,21,3,F,F,F,,ATS,6-48-21-3,0
131/02-06-048-27W3/00,131/02-06-048-27W3,SK,53.10703,-109.94178,Act OIL Prod,IDLE,14.934442885180102,2,6,48,27,3,F,T,F,,ATS,6-48-27-3,0
131/02-06-049-27W3/00,131/02-06-049-27W3,SK,53.19351,-109.94108,Act Alt WTR_GAS Inj,IDLE,13.874258826664406,2,6,49,27,3,F,F,F,,ATS,6-49-27-3,0
131/02-07-010-07W2/02,131/02-07-010-07W2,SK,49.81316,-102.93936,Susp OIL Prod,SUSP,9.01464932302854,2,7,10,7,2,F,F,T,,ATS,7-10-7-2,0
131/02-08-012-04W2/03,131/02-08-012-04W2,SK,49.97752,-102.51552,ABD OIL,ABD,17.473807416677204,2,8,12,4,2,F,F,F,,ATS,8-12-4-2,0
131/02-08-012-18W3/00,131/02-08-012-18W3,SK,49.97775,-108.4253,Act WTR Src,IDLE,36.65952605148532,2,8,12,18,3,F,F,F,,ATS,8-12-18-3,0
131/02-08-015-01W2/02,131/02-08-015-01W2,SK,50.23904,-102.10743,Susp OIL Prod,SUSP,9.825184696570254,2,8,15,1,2,F,F,F,,ATS,8-15-1-2,0
131/02-08-031-20W3/00,131/02-08-031-20W3,SK,51.6376,-108.8037,Susp OIL Prod,SUSP,7.008144466527717,2,8,31,20,3,F,F,F,,ATS,8-31-20-3,0
131/02-08-048-20W3/00,131/02-08-048-20W3,SK,53.12075,-108.89126,Susp OIL Prod,SUSP,10.482662986073215,2,8,48,20,3,F,F,F,,ATS,8-48-20-3,0
131/02-08-056-27W3/00,131/02-08-056-27W3,SK,53.81811,-109.97967,Susp OIL Prod,SUSP,15.763720345471064,2,8,56,27,3,F,T,F,,ATS,8-56-27-3,0
131/02-09-012-19W3/00,131/02-09-012-19W3,SK,49.9775,-108.53972,Susp OIL Prod,SUSP,13.775159511439911,2,9,12,19,3,F,F,F,,ATS,9-12-19-3,0
131/02-10-004-01W2/00,131/02-10-004-01W2,SK,49.27724,-102.06101,Susp OIL Prod,SUSP,18.96061383721904,2,10,4,1,2,F,F,F,,ATS,10-4-1-2,0
131/02-10-004-31W1/02,131/02-10-004-31W1,SK,49.28461,-101.58508,Susp OIL Prod,SUSP,7.559159067747889,2,10,4,31,1,F,F,T,,ATS,10-4-31-1,0
